commerce/e-commerce/product-catalog	SearchEngine	IndexProduct
commerce/e-commerce/product-catalog	SearchEngine	RemoveProduct
commerce/e-commerce/shopping-cart	OrderService	CreateOrder
commerce/marketplace/order-orchestration	VendorService	NotifyNewSubOrder
commerce/marketplace/vendor-management	PaymentService	ProcessPayout
commerce/retail/inventory-management	PurchasingService	CreatePurchaseOrder
commerce/retail/point-of-sale	ReceiptService	EmailReceipt
commerce/retail/point-of-sale	ReceiptService	GenerateReceipt
commerce/retail/store-operations	ReportingService	GenerateDailyReport
commerce/retail/store-operations	SecurityService	NotifyStoreStatus
commerce/retail/store-operations	SecurityService	ReportIncident
commerce/wholesale/distribution	ShippingService	SchedulePickup
commerce/wholesale/trade-credit	CreditBureauService	RequestCreditReport
construction/field-operations/equipment-tracking	MaintenanceService	CreateWorkOrder
education/academic/learning-management	CertificationService	IssueCertificate
education/academic/student-information	TranscriptService	RequestTranscript
education/certification/credentialing	ExaminationService	ScheduleExam
education/certification/credentialing	PaymentService	ProcessApplicationFee
education/certification/credentialing	PaymentService	ProcessRenewalFee
education/corporate-training/training-administration	CertificateService	GenerateCertificate
education/corporate-training/training-administration	RoomReservationService	ReserveRoom
education/corporate-training/training-administration	VideoConferenceService	CreateMeeting
engineering/consulting/knowledge-management	AnalyticsService	TrackEvent
engineering/consulting/knowledge-management	SearchService	IndexItem
engineering/consulting/knowledge-management	SearchService	RemoveFromIndex
engineering/product-development/design-review	WorkflowService	TriggerApprovalWorkflow
engineering/product-development/plm-integration	ERPSystemService	SyncBOM
engineering/product-development/plm-integration	MessageQueueService	PublishEvent
engineering/product-development/plm-integration	MessageQueueService	SubscribeToTopic
engineering/product-development/plm-integration	MonitoringService	CreateAlert
engineering/product-development/plm-integration	MonitoringService	RecordMetric
engineering/product-development/prototype-management	DefectTrackingService	CreateDefect
engineering/product-development/prototype-management	ProcurementService	OrderComponent
engineering/product-development/prototype-management	TestEquipmentService	ReserveEquipment
entertainment/gaming/game-economy	IAPService	ProcessPurchase
entertainment/gaming/game-economy	TradeEscrowService	EscrowItems
entertainment/gaming/game-economy	TradeEscrowService	ReleaseEscrow
entertainment/gaming/matchmaking	QueueService	AddToQueue
entertainment/gaming/matchmaking	QueueService	RemoveFromQueue
entertainment/gaming/matchmaking	RatingService	UpdateRating
entertainment/gaming/matchmaking	ServerAllocationService	RequestServer
entertainment/live-events/production-management	VenueSystem	ReserveVenue
entertainment/live-events/ticketing	VenueSystem	ReleaseSeat
entertainment/live-events/ticketing	VenueSystem	ReserveSeat
entertainment/media/advertising-delivery	BillingService	RecordBillableEvent
entertainment/media/advertising-delivery	RTBExchange	SendBidRequest
entertainment/media/content-management	CDNService	DistributeContent
entertainment/media/content-management	MediaAssetService	UploadAsset
entertainment/media/content-management	SearchService	IndexContent
entertainment/media/content-management	TranscodingService	TranscodeAsset
entertainment/media/streaming-platform	AnalyticsService	TrackViewEvent
entertainment/media/streaming-platform	ContinueWatchingService	SaveProgress
entertainment/media/streaming-platform	DRMService	RequestLicense
entertainment/sports/athlete-management	LeagueRegistry	RegisterWithLeague
entertainment/sports/athlete-management	MedicalSystem	SubmitMedicalReport
entertainment/sports/league-management	BroadcastSystem	CancelBroadcast
entertainment/sports/league-management	BroadcastSystem	ScheduleBroadcast
finance/banking/account-management	CoreBankingService	PostToLedger
finance/banking/credit-decisioning	CreditBureauService	PullCreditReport
finance/banking/fund-transfer	ACHNetworkService	SubmitACHTransaction
finance/banking/fund-transfer	AccountService	DebitAccount
finance/banking/fund-transfer	WireNetworkService	SubmitWire
finance/banking/loan-origination	CreditDecisioningService	RequestDecision
finance/payments/digital-wallet	BankTransferService	InitiateACH
finance/payments/merchant-acquiring	MATCHService	AddToMATCH
finance/payments/merchant-acquiring	MATCHService	CheckMATCH
finance/payments/payment-processing	CardNetworkService	SendAuthRequest
finance/payments/payment-processing	ThreeDSecureService	InitiateAuthentication
finance/trading/order-management	ExecutionVenueService	RouteOrder
finance/trading/trade-settlement	CashService	UpdateCashBalance
finance/trading/trade-settlement	ClearinghouseService	SubmitForClearing
finance/trading/trade-settlement	PositionService	UpdatePosition
finance/trading/trade-settlement	TradeMatchingService	SubmitForMatching
government/citizen-services/benefits-administration	EBTCardService	IssueCard
government/citizen-services/benefits-administration	EBTCardService	ReplaceCard
government/citizen-services/case-management	PaymentService	IssueBenefit
government/public-safety/emergency-dispatch	MDTService	SendDispatchNotification
government/public-safety/emergency-dispatch	MDTService	SendUnitMessage
government/public-safety/emergency-dispatch	RadioService	RequestTalkgroup
government/public-safety/records-management	EvidenceLabService	SubmitForAnalysis
government/public-safety/records-management	ProsecutorService	SubmitCasePacket
government/regulatory/compliance-reporting	DataCollectionService	CollectReportData
healthcare/clinical/appointment-scheduling	WaitlistService	AddToWaitlist
healthcare/clinical/care-coordination	HIEService	ShareCarePlan
healthcare/clinical/care-coordination	ReferralManagementService	SendReferral
healthcare/clinical/clinical-encounter	OrderEntryService	SubmitOrder
healthcare/clinical/patient-registration	MPIService	LinkToMPI
healthcare/clinical/patient-registration	MPIService	SearchMPI
healthcare/hospitals/admission-discharge	BedManagementService	RequestHousekeeping
healthcare/hospitals/admission-discharge	BedManagementService	ReserveBed
healthcare/hospitals/admission-discharge	ClinicalService	DocumentClinicalNote
healthcare/hospitals/lab-orders	EHRIntegration	DeliverResult
healthcare/hospitals/lab-orders	EHRIntegration	SubmitLabOrder
healthcare/hospitals/lab-orders	LaboratoryInstrumentInterface	RequestAnalyzerResult
healthcare/hospitals/lab-orders	LaboratoryInstrumentInterface	SendToAnalyzer
healthcare/hospitals/nursing-workflow	MedicationAdministration	DocumentAdministration
healthcare/hospitals/nursing-workflow	MedicationAdministration	DocumentHold
healthcare/hospitals/nursing-workflow	OrderManagement	AcknowledgeOrder
healthcare/hospitals/nursing-workflow	OrderManagement	UpdateOrderStatus
healthcare/hospitals/operating-room	AnesthesiaService	DocumentAnesthesiaRecord
healthcare/hospitals/operating-room	AnesthesiaService	RequestAnesthesiaCoverage
healthcare/hospitals/operating-room	AnesthesiaService	RequestPACUHandoff
healthcare/hospitals/operating-room	PreOpService	RecordNPOStatus
healthcare/hospitals/operating-room	PreOpService	RequestMedicalClearance
healthcare/hospitals/radiology-workflow	PACSIntegration	PrefetchPriorStudies
healthcare/hospitals/radiology-workflow	PACSIntegration	RetrieveImages
healthcare/hospitals/radiology-workflow	PACSIntegration	StoreImages
healthcare/hospitals/radiology-workflow	RISIntegration	GetModalityWorklist
healthcare/hospitals/radiology-workflow	RISIntegration	ScheduleExamInRIS
healthcare/hospitals/radiology-workflow	RISIntegration	UpdateExamStatus
healthcare/hospitals/radiology-workflow	SpeechRecognition	EndDictation
healthcare/hospitals/radiology-workflow	SpeechRecognition	InsertMacro
healthcare/hospitals/radiology-workflow	SpeechRecognition	StartDictation
healthcare/hospitals/supply-chain	ClinicalUsage	ReportConsumption
healthcare/hospitals/supply-chain	ClinicalUsage	RequestSupplies
healthcare/hospitals/supply-chain	FinanceAP	NotifyReceipt
healthcare/hospitals/supply-chain	FinanceAP	ResolveMatchException
hospitality/events/event-registration	BadgePrintingService	PrintBadge
hospitality/events/event-registration	DiscountService	RedeemDiscount
hospitality/events/event-registration	SessionCapacityService	ReleaseSessionSpot
hospitality/events/event-registration	SessionCapacityService	ReserveSessionSpot
hospitality/events/event-registration	TicketAvailabilityService	ReleaseTicket
hospitality/events/event-registration	TicketAvailabilityService	ReserveTicket
hospitality/events/venue-management	CateringService	BookCatering
hospitality/events/venue-management	CateringService	CancelCatering
hospitality/events/venue-management	FacilitiesManagementService	ScheduleSetup
